49,2019-04-22,유지6,하단동 이디야,35.105873,128.966771,운영중,10,A,O,O,,,카페
50,2019-04-29,유지6,돈가츠&스시 덕천동,35.211157,129.007594,운영중,502,A,O,O,,,일식
51,2019-05-14,유지5,효동푸드 덕천동,,,운영중,519,A,O,O,,가맹비 일주일 무료 프로모션,한식
52,2019-05-21,유지5,팔공티 수정동,35.12895,129.047701,운영중,47,A,O,O,,,카페
53,2019-05-22,유지5,요거프레소 초량동,35.122863,129.044744,운영중,4,A,O,X,오더수 10콜 미만,,카페
54,2019-05-27,유지5,엔스토리 부평동(re),35.101077,129.027538,운영중,6,A,O,X,오더수 10콜 미만,1주일 가맹비 무료 프로모션,해물
55,2019-05-29,유지5,이디야 괴정동,35.099505,128.990199,운영중,153,A,O,O,,1주일 가맹비 무료 프로모션,카페
56,2019-05-29,유지5,부전동 홉스피제리아,35.154665,129.061633,폐점,0,A,X,X,오더수 10콜 미만/가맹비 미납,(폐점:2019-10-08)/1주일 가맹비 무료 프로모션,양식
57,2019-05-30,유지5,밀양돼지국밥 개금동,35.15289,129.025953,운영중,56,A,O,O,,1주일 가맹비 무료프로모션,한식
58,2019-06-01,유지4,(중구)맛있는불백 중앙동,35.106687,129.038283,폐점,0,A,X,X,오더수 10콜 미만/가맹비 미납,(폐점:2019-10-21),한식
59,2019-06-06,유지4,부암동 발리,35.170217,129.03804,운영중,219,A,O,O,,,양식
60,2019-06-10,유지4,당리동 이디야,35.104093,128.973259,운영중,86,A,O,O,,,카페
61,2019-06-10,유지4,사직동 동대앞신석쇠구이,35.196224,129.061349,운영중,0,A,O,X,오더수 10콜 미만,,고기
62,2019-06-25,유지4,연지동 돗토리김밥,35.171477,129.048965,운영중,78,A,O,O,,,한식
63,2019-06-27,유지4,에그드랍 남포동,35.09866,129.034094,운영중,458,A,O,O,,,토스트
64,2019-07-01,유지3,연지동 쉬어가든,35.172283,129.059426,운영중,15,A,O,O,,,카페
65,2019-07-01,유지2,명륜동 친정반찬,35.21568,129.087565,운영중,0,A,O,X,오더수 10콜 미만,,한식
66,2019-07-01,유지2,전포동 BHC,35.157551,129.068678,운영중,0,A,O,X,오더수 10콜 미만,,패스트
67,2019-07-02,유지3,남천동 미미루,35.1402,129.108472,운영중,129,A,O,O,,,중식
68,2019-07-03,유지3,희희호호 다대동,35.05979,128.980365,운영중,61,A,O,O,,,카페
69,2019-07-04,유지3,미스손(SON) 주례동,35.150832,129.012768,운영중,288,A,O,O,,1주일 가맹비 무료 프로모션,토스트
70,2019-07-09,유지3,신세계 중화요리 부전동,35.153779,129.054086,운영중,0,A,O,X,오더수 10콜 미만,3개월 가맹비 9900원 프로모션,중식
71,2019-07-13,유지3,투썸1번가 부전동,35.154573,129.057277,운영중,151,A,O,O,,7월 8월 가맹비 9900원 프로모션,카페
72,2019-07-19,유지2,코카롱 감천동,35.089405,128.995554,운영중,0,A,O,X,오더수 10콜 미만,,카페
73,2019-07-19,유지3,개금동 이가분식,35.151324,129.024533,운영중,91,A,O,O,,,분식
74,2019-07-19,유지3,부전동 이슈모리,35.152865,129.058348,운영중,211,A,O,O,,"""7",종합
75,2019-07-24,유지3,한끼맛있다 남포동,35.099035,129.028591,운영중,155,A,O,O,,,한식
76,2019-07-27,유지2,크리스티 전포동,35.155526,129.065625,폐점,4,A,O,X,오더수 10콜 미만,(폐점:2019-10-18)/8월 가맹비 9900원 프로모션,카페
77,2019-07-28,유지3,용호동 서브웨이W스퀘어,35.134113,129.111685,폐점,293,A,O,O,,(폐점:2019-10-25),패스트
78,2019-07-30,유지2,신세카이 전포동,35.153547,129.057392,운영중,0,A,O,X,오더수 10콜 미만,,치킨
79,2019-07-31,유지2,초읍동 하린플라워카페,35.172341,129.049525,운영중,0,A,O,X,오더수 10콜 미만,,카페
80,2019-07-31,유지2,갓식빵 다대동,35.060262,128.981873,운영중,196,A,O,O,,,빵집
81,2019-08-09,유지1,해적 하단동,35.170459,128.982537,운영중,41,A,O,O,,,한식
82,2019-08-21,유지2,윤스식당 장전동,35.232069,129.085983,운영중,127,A,O,O,,,한식
83,2019-08-22,유지2,괘법동 팔팔(new),35.164187,128.985192,운영중,55,A,O,O,,,한식
84,2019-08-23,유지1,영천죽집 괴정동,35.099923,128.995389,운영중,100,A,O,O,,1주일 가맹비 무료 프로모션,한식
85,2019-08-23,유지1,온천동 조은아구찜,35.206003,129.072848,운영중,32,A,O,O,,"""8",한식
86,2019-08-23,유지2,남원추어탕 부전동,35.158196,129.061312,운영중,59,A,O,O,,8월 9월 가맹비 9900원 프로모션,한식
87,2019-08-24,유지1,투더디프런트 부전동,35.152075,129.062057,운영중,28,A,O,O,,1주일 가맹비 무료 프로모션,카페
88,2019-08-26,유지2,진이네야채곱창 부전동,35.157072,129.061,운영중,289,A,O,O,,"""8",한식
89,2019-08-29,유지2,치요남 감전점,35.155192,128.982607,운영중,158,A,O,O,,9월 가맹비 9900원 프로모션,치킨
90,2019-09-01,유지1,서브웨이 중앙동(new),35.106861,129.036501,운영중,242,A,O,O,,,패스트
91,2019-09-02,유지1,연산동 안방갈비,35.190617,129.092359,운영중,45,A,O,O,,2019 / 09 / 02 ~ 2019 / 09 / 09 1주일 가맹비 무료 프로모션,고기
92,2019-09-04,유지1,대연동 경성대소문난매운떡볶이,35.137935,129.104472,운영중,444,A,O,O,,,분식
93,2019-09-05,유지1,소우데스 사직동,35.199715,129.060244,폐점,10,A,O,O,,"""(폐점:2019-10-17)/9월 가맹비 9",고기
94,2019-09-10,유지1,고품격커피공장 2번가점,35.154647,129.061558,운영중,227,A,O,O,,"""9월 가맹비 9",카페
95,2019-09-11,유지1,명장동 피자헛,35.204909,129.101799,운영중,34,A,O,O,,,패스트
96,2019-09-11,유지1,브리첼과자점,35.26531,129.087816,운영중,155,A,O,O,,,제과점
97,2019-09-17,유지1,이비가짬뽕 양정동,35.176599,129.074387,운영중,94,B,X,O,,,중식
98,2019-09-23,유지1,김밥마을,35.139339,129.10811,운영중,98,A,O,O,,일주일 가맹비 무료 프로모션,한식
99,2018-11-20,유지11,(중구) 미치코산도 중앙동,35.10416,129.03484,운영중,0,A,O,X,오더수 10콜 미만,,패스트
,,,,,,,,,,,,,
101,2019-11-07,신규,수정동 유가네(re),35.129978,129.048034,운영중,261,A,"100,000",,,,
102,2019-11-08,신규,부전동 나주곰탕,35.159714,129.057386,운영중,75,A,"100,000",,,,
103,2019-11-08,신규,킹콩부대찌개 명륜동,35.203827,129.082355,운영중,8,A,-,,오더수 10콜 미만,,
104,2019-11-12,신규,좌동 서브웨이,35.168848,129.175805,운영중,421,A,"100,000",,,,
105,2019-11-13,신규,서브웨이 동의대,35.146032,129.035298,운영중,62,A,"100,000",,,,
106,2019-11-13,신규,본죽 남포동,35.098404,129.029287,운영중,11,A,"100,000",,,,
107,2019-11-13,신규,본가 남포동,35.098663,129.028789,운영중,0,A,-,,오더수 10콜 미만/가맹비 미납,,
108,2019-11-13,신규,밥상 서면,35.152718,129.058862,운영중,118,A,"100,000",,,,
109,2019-11-14,신규,용호동 나주곰탕,35.121105,129.11138,운영중,37,A,"100,000",,,,
110,2019-11-22,신규,따봉직화구이 장전동,35.231638,129.086146,운영중,11,A,"100,000",,,,
111,2019-11-22,신규,광안동 뚱삼이대삼이,35.156945,129.114578,운영중,10,A,"100,000",,,,
112,2019-11-22,신규,교촌치킨 양정동,35.174663,129.069781,운영중,0,A,-,,오더수 10콜 미만/가맹비 미납,,
113,2019-11-25,신규,반여동 바우네,35.200319,129.131372,운영중,0,A,-,,오더수 10콜 미만/가맹비 미납,,
114,2019-11-26,신규,하이뽕 낫개,35.061936,128.983543,운영중,16,A,-,,가맹비 미납,,
115,2019-11-29,신규,가야동 커피박스,35.148613,129.034524,운영중,2,A,-,,오더수 10콜 미만/가맹비 미납,,
116,2019-11-29,신규,양정동 장원국밥,35.16025,129.055929,운영중,0,A,-,,오더수 10콜 미만,,
